,player_name,year,runs
0,A Bhandari,2000,0
1,A Bhandari,2004,0
2,A Dananjaya,2012,0
3,A Dananjaya,2017,115
4,A Dananjaya,2018,161
5,A Dananjaya,2019,7
6,A Flintoff,1999,100
7,A Flintoff,2000,206
8,A Flintoff,2001,144
9,A Flintoff,2002,397
10,A Flintoff,2003,631
11,A Flintoff,2004,633
12,A Flintoff,2005,490
13,A Flintoff,2006,102
14,A Flintoff,2007,387
15,A Flintoff,2008,301
16,A Flintoff,2009,3
17,A Flower,1992,374
18,A Flower,1993,270
19,A Flower,1994,225
20,A Flower,1995,163
21,A Flower,1996,372
22,A Flower,1997,766
23,A Flower,1998,772
24,A Flower,1999,852
25,A Flower,2000,943
26,A Flower,2001,1060
27,A Flower,2002,657
28,A Flower,2003,332
29,A Jadeja,1992,205
30,A Jadeja,1993,75
31,A Jadeja,1994,720
32,A Jadeja,1995,170
33,A Jadeja,1996,789
34,A Jadeja,1997,937
35,A Jadeja,1998,1004
36,A Jadeja,1999,1144
37,A Jadeja,2000,315
38,A Kumble,1990,0
39,A Kumble,1991,0
40,A Kumble,1992,18
41,A Kumble,1993,78
42,A Kumble,1994,52
43,A Kumble,1995,23
44,A Kumble,1996,147
45,A Kumble,1997,124
46,A Kumble,1998,64
47,A Kumble,1999,60
48,A Kumble,2000,150
49,A Kumble,2001,8
50,A Kumble,2002,70
51,A Kumble,2003,66
52,A Kumble,2004,26
53,A Kumble,2005,44
54,A Kumble,2006,3
55,A Kumble,2007,5
56,A Kuruvilla,1997,26
57,A Maregwede,2003,0
58,A Maregwede,2004,95
59,A Maregwede,2005,29
60,A Martin,2011,10
61,A McGrath,2003,143
62,A McGrath,2004,23
63,A Mishra,2003,0
64,A Mishra,2009,0
65,A Mishra,2010,0
66,A Mishra,2011,5
67,A Mishra,2013,9
68,A Mishra,2014,10
69,A Mishra,2015,4
70,A Mishra,2016,15
71,A Mithun,2010,28
72,A Mithun,2011,23
73,A Nehra,2001,6
74,A Nehra,2002,30
75,A Nehra,2003,11
76,A Nehra,2004,24
77,A Nehra,2005,16
78,A Nehra,2009,15
79,A Nehra,2010,30
80,A Nehra,2011,9
81,A Nel,2001,3
82,A Nel,2003,2
83,A Nel,2004,0
84,A Nel,2005,7
85,A Nel,2006,34
86,A Nel,2007,58
87,A Nel,2008,23
88,A Nortje,2019,8
89,A Ranatunga,1982,68
90,A Ranatunga,1983,145
91,A Ranatunga,1984,138
92,A Ranatunga,1985,283
93,A Ranatunga,1986,324
94,A Ranatunga,1987,342
95,A Ranatunga,1988,340
96,A Ranatunga,1989,237
97,A Ranatunga,1990,565
98,A Ranatunga,1991,152
99,A Ranatunga,1992,360
